filename,detected_streaks,proc_time_ms,status
1385.fits,2,56.46,OK
1386.fits,7,71.16,OK
1387.fits,3,61.02,OK
1388.fits,3,64.61,OK
1389.fits,4,59.38,OK
139.fits,7,60.30,OK
1390.fits,1,74.76,OK
1391.fits,2,55.90,OK
1392.fits,2,56.43,OK
1393.fits,0,60.89,OK
1394.fits,1,67.55,OK
1395.fits,4,71.12,OK
1396.fits,1,61.26,OK
1397.fits,3,62.42,OK
1398.fits,3,65.26,OK
1399.fits,2,61.78,OK
14.fits,1,58.52,OK
140.fits,12,74.07,OK
1400.fits,3,63.46,OK
1401.fits,2,56.41,OK
1402.fits,5,58.70,OK
1403.fits,3,67.74,OK
1404.fits,4,70.07,OK
1405.fits,2,59.63,OK
1406.fits,6,58.37,OK
1407.fits,2,58.73,OK
1408.fits,4,55.10,OK
1409.fits,5,66.81,OK
141.fits,4,62.44,OK
1410.fits,1,66.23,OK
1411.fits,1,58.61,OK
1412.fits,2,56.62,OK
1413.fits,3,60.01,OK
1414.fits,4,64.70,OK
1415.fits,5,69.42,OK
1416.fits,1,75.97,OK
1417.fits,6,58.97,OK
1418.fits,8,60.59,OK
1419.fits,16,66.92,OK
142.fits,1,65.30,OK
1420.fits,6,75.54,OK
1421.fits,5,66.78,OK
1422.fits,2,60.25,OK
1423.fits,8,66.75,OK
1424.fits,5,65.69,OK
1425.fits,5,77.38,OK
1426.fits,4,64.17,OK
1427.fits,2,67.95,OK
1428.fits,2,65.95,OK
1429.fits,1,61.50,OK
143.fits,0,77.60,OK
1430.fits,7,68.36,OK
1431.fits,5,70.52,OK
1432.fits,6,61.23,OK
1433.fits,12,68.25,OK
1434.fits,3,58.33,OK
1435.fits,4,60.38,OK
1436.fits,5,66.42,OK
1437.fits,6,71.19,OK
1438.fits,2,74.11,OK
1439.fits,4,59.02,OK
144.fits,3,66.93,OK
1440.fits,0,61.63,OK
1441.fits,5,62.18,OK
1442.fits,1,64.86,OK
1443.fits,5,69.92,OK
1444.fits,1,62.09,OK
1445.fits,3,56.71,OK
1446.fits,5,60.60,OK
1447.fits,5,68.14,OK
1448.fits,9,66.97,OK
1449.fits,3,72.40,OK
145.fits,3,65.84,OK
1450.fits,7,63.23,OK
1451.fits,2,63.75,OK
1452.fits,2,62.62,OK
1453.fits,6,65.56,OK
1454.fits,6,62.70,OK
1455.fits,4,68.78,OK
1456.fits,6,66.14,OK
1457.fits,3,65.79,OK
1458.fits,2,64.87,OK
1459.fits,3,78.26,OK
146.fits,3,68.04,OK
1460.fits,8,63.39,OK
1461.fits,3,69.55,OK
1462.fits,1,64.08,OK
1463.fits,4,59.99,OK
1464.fits,8,70.84,OK
1465.fits,2,67.83,OK
1466.fits,5,61.28,OK
1467.fits,4,70.16,OK
1468.fits,1,62.27,OK
1469.fits,5,60.39,OK
147.fits,10,65.10,OK
1470.fits,1,63.54,OK
1471.fits,4,62.07,OK
1472.fits,3,62.97,OK
1473.fits,15,71.27,OK
1474.fits,3,68.26,OK
1475.fits,3,62.78,OK
1476.fits,9,69.36,OK
1477.fits,9,60.34,OK
1478.fits,1,64.92,OK
1479.fits,3,64.67,OK
148.fits,11,66.88,OK
1480.fits,6,62.70,OK
1481.fits,5,76.51,OK
1482.fits,4,63.88,OK
1483.fits,4,66.16,OK
1484.fits,4,59.22,OK
1485.fits,7,64.00,OK
1486.fits,5,65.17,OK
1487.fits,3,65.81,OK
1488.fits,7,70.52,OK
1489.fits,8,66.22,OK
149.fits,0,58.43,OK
1490.fits,2,61.54,OK
1491.fits,3,62.13,OK
1492.fits,3,65.93,OK
1493.fits,16,68.88,OK
1494.fits,2,64.31,OK
1495.fits,6,64.25,OK
1496.fits,5,61.36,OK
1497.fits,5,61.31,OK
1498.fits,7,61.49,OK
1499.fits,5,62.30,OK
15.fits,3,59.27,OK
150.fits,3,58.57,OK
1500.fits,4,68.93,OK
1501.fits,5,64.57,OK
1502.fits,4,68.46,OK
1503.fits,4,57.88,OK
1504.fits,3,61.91,OK
1505.fits,4,62.30,OK
1506.fits,7,71.09,OK
1507.fits,2,64.50,OK
1508.fits,4,60.41,OK
1509.fits,3,62.43,OK
151.fits,4,61.68,OK
1510.fits,4,66.99,OK
1511.fits,4,68.18,OK
1512.fits,8,67.17,OK
1513.fits,4,57.14,OK
1514.fits,9,68.65,OK
1515.fits,2,65.99,OK
1516.fits,4,67.82,OK
1517.fits,3,61.43,OK
1518.fits,2,66.37,OK
1519.fits,7,61.64,OK
152.fits,6,65.91,OK
1520.fits,1,62.19,OK
1521.fits,5,61.06,OK
1522.fits,3,63.55,OK
1523.fits,1,65.93,OK
1524.fits,4,60.59,OK
1525.fits,4,61.14,OK
1526.fits,4,63.43,OK
1527.fits,4,58.37,OK
1528.fits,4,56.51,OK
1529.fits,5,70.16,OK
153.fits,6,61.65,OK
1530.fits,4,69.00,OK
1531.fits,8,69.20,OK
1532.fits,10,70.53,OK
1533.fits,2,57.09,OK
1534.fits,4,54.26,OK
1535.fits,2,63.61,OK
1536.fits,5,61.04,OK
1537.fits,8,75.20,OK
1538.fits,5,66.32,OK
1539.fits,3,60.98,OK
154.fits,5,61.56,OK
1540.fits,11,70.28,OK
1541.fits,10,66.89,OK
1542.fits,14,84.38,OK
1543.fits,2,56.08,OK
1544.fits,2,62.94,OK
1545.fits,3,65.89,OK
1546.fits,2,60.42,OK
1547.fits,3,60.67,OK
